Indicação de data e hora,O que você faria?
25/10/2015 11:55:14,Compraria o DVD.
25/10/2015 11:56:41,Compraria o DVD.
25/10/2015 11:59:01,Não compraria o DVD.
25/10/2015 11:59:17,Não compraria o DVD.
25/10/2015 12:08:26,Compraria o DVD.
25/10/2015 12:12:26,Não compraria o DVD.
25/10/2015 12:12:32,Não compraria o DVD.
25/10/2015 12:12:36,Não compraria o DVD.
25/10/2015 12:12:39,Compraria o DVD.
25/10/2015 12:14:49,Compraria o DVD.
25/10/2015 12:27:46,Compraria o DVD.
25/10/2015 12:33:56,Não compraria o DVD.
25/10/2015 12:43:43,Compraria o DVD.
25/10/2015 12:50:32,Não compraria o DVD.
25/10/2015 13:02:05,Compraria o DVD.
25/10/2015 13:13:57,Não compraria o DVD.
25/10/2015 13:21:12,Não compraria o DVD.
25/10/2015 13:22:26,Compraria o DVD.
25/10/2015 13:22:49,Compraria o DVD.
25/10/2015 14:16:29,Compraria o DVD.
25/10/2015 14:17:51,Compraria o DVD.
25/10/2015 16:17:36,Não compraria o DVD.
25/10/2015 16:24:47,Não compraria o DVD.
25/10/2015 16:27:05,Não compraria o DVD.
25/10/2015 16:29:11,Compraria o DVD.
25/10/2015 16:39:18,Compraria o DVD.
25/10/2015 17:13:02,Não compraria o DVD.
25/10/2015 18:15:27,Não compraria o DVD.
25/10/2015 18:29:09,Compraria o DVD.
25/10/2015 20:13:43,Não compraria o DVD.
25/10/2015 20:53:47,Compraria o DVD.
25/10/2015 20:54:58,Não compraria o DVD.
25/10/2015 21:21:18,Compraria o DVD.
25/10/2015 22:03:28,Não compraria o DVD.
25/10/2015 22:07:23,Compraria o DVD.
25/10/2015 22:31:33,Não compraria o DVD.
25/10/2015 23:52:36,Compraria o DVD.
26/10/2015 01:04:29,Compraria o DVD.
26/10/2015 01:19:33,Compraria o DVD.
26/10/2015 01:27:35,Compraria o DVD.
26/10/2015 08:21:51,Não compraria o DVD.
26/10/2015 09:35:24,Não compraria o DVD.
26/10/2015 10:17:15,Compraria o DVD.
26/10/2015 10:35:05,Não compraria o DVD.
26/10/2015 10:39:25,Não compraria o DVD.
26/10/2015 12:15:40,Não compraria o DVD.
26/10/2015 13:18:36,Compraria o DVD.
26/10/2015 16:08:35,Compraria o DVD.
26/10/2015 16:19:49,Não compraria o DVD.
26/10/2015 17:30:17,Compraria o DVD.
26/10/2015 23:38:30,Compraria o DVD.
27/10/2015 09:18:05,Compraria o DVD.
27/10/2015 12:22:40,Compraria o DVD.
27/10/2015 17:28:26,Compraria o DVD.
01/11/2015 00:38:42,Compraria o DVD.
18/11/2015 10:50:22,Não compraria o DVD.
